Market_ID,Market_name,population_2019,Population_growth,Income_per_capita
32716,Ekuk,10000,0,10000
32719,Kalskag,10000,0,10000
32720,Levelock,10000,0,10000
32721,Larsen Bay,10000,0,10000
32723,Kelp Bay,10000,0,10000
32737,Manokotak,10000,0,10000
32743,Moser Bay,10000,0,10000
32748,Kokhanok,10000,0,10000
32755,New Stuyahok,10000,0,10000
32769,Kotlik,10000,0,10000
32771,Olga Bay,10000,0,10000
32772,Ouzinkie,10000,0,10000
32773,Point Baker,10000,0,10000
32774,Port Clarence,10000,0,10000
32775,Pauloff Harbor,10000,0,10000
32777,Parks,10000,0,10000
32778,Napamute,10000,0,10000
32779,Kipnuk,10000,0,10000
32782,Port Williams,10000,0,10000
32784,Perryville,10000,0,10000
32785,Port Bailey,10000,0,10000
32786,Akutan,10000,0,10000
32790,Kasitsna Bay,10000,0,10000
32812,Sandy River,10000,0,10000
32815,Thorne Bay,10000,0,10000
32822,Brevig Mission,10000,0,10000
32831,Kasigluk,10000,0,10000
32837,Kugururok River,10000,0,10000
32841,King Cove,10000,0,10000
32844,Kivalina,10000,0,10000
32847,Waterfall,10000,0,10000
32851,Kwigillingok,10000,0,10000
32853,Quinhagak,10000,0,10000
32854,West Point,10000,0,10000
32855,Kwethluk,10000,0,10000
32857,Kasaan,10000,0,10000
32865,Yankee Creek,10000,0,10000
32866,Karluk,10000,0,10000
32868,Koyukuk,10000,0,10000
32869,Zachar Bay,10000,0,10000
32968,Lost Harbor,10000,0,10000
32983,Long Island,10000,0,10000
32993,Livengood,10000,0,10000
33003,Kulik Lake,10000,0,10000
33016,Minchumina,10000,0,10000
33057,Little Port Walter,10000,0,10000
33064,Loring,10000,0,10000
33083,Lost River,10000,0,10000
33111,Cape Lisburne,10000,0,10000
33115,Lime Village,10000,0,10000
33196,McGrath,10000,0,10000
33226,Middleton Island,10000,0,10000
33228,Medfra,10000,0,10000
33381,Manley Hot Springs,10000,0,10000
33415,Minto,10000,0,10000
33432,Moses Point,10000,0,10000
33434,Mountain Village,10000,0,10000
33504,Metlakatla,10000,0,10000
33564,McCarthy,10000,0,10000
33574,May Creek,10000,0,10000
33579,Mekoryuk,10000,0,10000
33676,Nikolai,10000,0,10000
33678,Niblack,10000,0,10000
33681,Ninilchik,10000,0,10000
33693,Naukiti,10000,0,10000
33698,Nichen Cove,10000,0,10000
33704,Nelson Lagoon,10000,0,10000
33710,Nightmute,10000,0,10000
33714,Naknek,10000,0,10000
33715,Nondalton,10000,0,10000
33767,Nuiqsut,10000,0,10000
33768,Nulato,10000,0,10000
33770,Nunapitchuk,10000,0,10000
33806,Kobuk,10000,0,10000
33811,Oceanic,10000,0,10000
33841,Northeast Cape,10000,0,10000
33863,Old Harbor,10000,0,10000
33873,Nome,10000,0,10000
33888,Onion Bay,10000,0,10000
33893,Cobol,10000,0,10000
33894,Toksook,10000,0,10000
33899,Ophir,10000,0,10000
33901,McDonald Lake,10000,0,10000
33902,Bible Camp,10000,0,10000
