unique_carrier_code, passenger_carried ,fleet_size,number_of_destinations
CHF,,,
CHE,,,
CHD,,,
CH,,,
CGO,,,
CGL,,,
CGA,,,
CF,,,
CET,,,
CEQ,,,
CEN,,,
CDQ,,,
CCQ,,,
CCO,,,
CCA,,,
CC (1),,,
CC,,,
CBA,,,
CB,,,
CAZ,,,
CAV,,,
CAT,,,
CAQ,,,
CAP,,,
CAM,,,
CAI,,,
CAF,,,
CAC,,,
CA,,,
C8 (1),,,
C8,,,
C6,,,
C5,,,
BZQ,,,
BYA,,,
BY,,,
BXQ,,,
BX,,,
BW,,,
BUR,,,
BUQ (1),,,
BUQ,,,
BUH,,,
BTQ,,,
BRW,,,
BRO,,,
BRK,,,
BR (1),,,
BR,,,
BQ,,,
BOQ,,,
BOI,,,
BOA,,,
BNQ,,,
BN (1),,,
BN,,,
BMT,,,
BM,,,
BLQ,,,
BJQ,,,
BIR,,,
BIQ,,,
BIA,,,
BHQ,,,
BHO,,,
BHK,,,
BGQ,,,
BG,,,
BFQ,,,
BFG,,,
BF (1),,,
BF,,,
BEY,,,
BES,,,
BEQ,,,
BEN,,,
BEA,,,
BE,,,
BDQ,,,
BDE,,,
BD,,,
BCQ,,,
BCA,,,
BC,,,
BBQ,,,
BAY,,,
BAT,,,
BAS,,,
BAR,,,
BAQ,,,
BAN,,,
BAK,,,
BAH,,,
BAC,,,
BAA,,,
BA,,,
B6,"42,727,694",270,102
B0,,,
AZQ,,,
AZP,,,
AZ,,,
AYQ,,,
AY,,,
AXQ,,,
AX,,,
AWQ,,,
AWA,,,
AVZ,,,
AVS,,,
AVR,,,
AVQ,,,
AVL,,,
AVI,,,
AVG,,,
AVC,,,
AVA,,,
AV,,,
AUX,,,
ATX,,,
ATT,,,
ATS,,,
ATQ,,,
ATO,,,
ATN,,,
ATH,,,
AT,,,
ASW,,,
ASU,,,
AST,,,
ASR,,,
ASQ,,,
ASP,,,
ASN,,,
ASI,,,
ASH,,,
ASD,,,
ASC,,,
AS,"46,733,000",423,119
ARZ,,,
ARS,,,
ARR,,,
ARQ,,,
ARP,,,
ARO,,,
ARN,,,
ARM,,,
ARI,,,
ARD,,,
ARB,,,
ARA,,,
AR,,,
AQQ,,,
AQ,,,
APY,,,
APS,,,
APQ,,,
APN,,,
APL,,,
API,,,
APH,,,
APE,,,
AOR,,,
AOQ (1),,,
AOQ,,,
AON,,,
AOI,,,
AO,,,
ANT,,,
ANO,,,
ANM,,,
ANI,,,
AND,,,
ANC,,,
ANB,,,
AN,,23,10
AMT,,,
AMR,,,
AMQ,,,
AMI,,,
AME,,,
AMA,,,
AM,,,
ALX,,,
ALU,,,
ALT,,,
ALS,,,
ALQ,,,
ALL,,,
ALK,,,
ALI,,,
ALE,,,
ALD,,,
AL,,,
AKQ,,,
AJQ,,,
AJ,,,
AIY,,,
AIT,,,
AIQ,,,
AIN,,,
AIM,,,
AIK,,,
AIG,,,
AIE,,,
AIC,,,
AIA,,,
AI,,,
AHQ,,,
AHC,,,
AHA,,,
AGQ,,,
AGA,,,
AG,,,
AFS,,,
AFQ,,,
AFG,,,
AFE,,,
AFA,,,
AF,,,
AEX,,,
AEQ,,,
AEO,,,
AEF,,,
AED,,,
AEC,,,
AE,,,
ADV,,,
ADR,,,
ADQ,,,
ADB,,,
AD (1),,,
AD,,,
ACW,,,
ACT,,,
ACS,,,
ACQ,,,
ACP,,,
ACO,,,
ACN,,,
ACL,,,
ACK,,,
ACJ,,,
ACI,,,
ACH,,,
ACG,,,
ACD,,,
ACA,,,
AC,,,
ABX,,,
ABO,,,
ABI,,,
ABH,,,
AB,,,
AAZ,,,
AAV,,,
AAT,,,
AAR,,,
AAQ,,,
AAP,,,
AAL,,,
AAI,,,
AAE,,,
AAB (1),,,
AAB,,,
AAA,,,
AA,"215,182,000","1,440",352
A7 (1),,,
A7,,,
A4,,,
A2,,,
A0,,,
9X,,10,10
9W,,,
9V,,,
9T,,,
9S,,,
9R,,,
9N,,,
9M,,,
9L,,,
9K,"120,000,000",99,36
9J,,,
9E,,193,145
8W,,,
8V,,21,18
8R,,,
8Q,,,
8N,,,
8L,,,
8J,,,
8I,,,
8F,,,
8E,,,
8D,,,
8C,,,
7Z,,,
7S (1),,,
7S,,20,10
7Q,,,
7P,,,
7N,,,
7M,,,
7L,,,
7I,,,
7H,,,
7G (1),,,
7G,,,
7F,,,
7C,,,
7B,,,
6Y,,,
6U,,,
6R,,,
6P,,,
6H,,,
6F,,,
6C,,,
6B,,,
6A,,,
5Y,,,
5X,,,
5V,,,
5L,,,
5J (1),,,
5J,,,
5G (1),,,
5G,,,
5F,,,
5D,,,
5C,,,
5B,,,
4Y,,,
4W,,,
4T,,,
4S (1),,,
4S,,,
4R,,,
4O,,,
4N,,,
4M (1),,,
4M,,,
4H,,,
4E,,,
4C,,,
4B (1),,,
4B,,31,25
3U,,,
3SD,,,
3S,,,
3M,,20,28
3KQ,,,
3FQ,,,
3F,,,
3EQ,,,
3E,,9,4
3DQ,,,
3CQ,,,
3C,,,
3BQ,,,
3AQ,,,
3AA,,,
38Q,,30,
37Q,,,
36Q,,,
35Q,,,
34Q,,,
30Q,,,
2UQ,,,
2U,,,
2TQ,,,
2T,,,
2RQ,,,
2R,,,
2PQ,,,
2P,,,
2OQ,,,
2O,,,
2NQ,,,
2M,,,
2LQ,,,
2KQ,,,
2K,,,
2JQ,,,
2HQ,,,
2GQ,,,
2F,,,
2EQ,,,
2E,,,
2BQ,,,
2AQ,,,
29Q,,,
28Q,,,
27Q,,,
26Q,,,
25Q,,,
24Q,,,
23Q,,,
22Q,,,
20Q,,,
1ZQ,,,
1YQ,,13,8
1XQ,,,8
1WQ,,,
1UQ,,,
1TQ,,,
1SQ,,,
1QQ,,,
1PQ,,,
1NQ,,,
1MQ,,,
1LQ,,,
1JQ,,,
1IQ,,,
1I,,,
1HQ,,,
1FQ,,,
1EQ,,,
1DQ,,,
1BQ,,,
1AQ,,,
17Q,,,
15Q,,,
14Q,,,
13Q,,,
12Q,,,
10Q,,,
